ERROR 2019-01-24 10:03:13,864 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:03:15,467 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:03:15,467 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:03:15,468 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:03:15,468 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:03:18,516 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:03:18,837 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:03:18,837 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:03:20,650 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:03:20,650 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:03:21,010 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:03:21,850 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:03:23,617 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:03:26,915 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:03:26,916 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:03:26,916 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:03:27,711 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:03:28,135 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:03:28,135 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:03:28,994 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:03:29,665 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:03:32,629 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:03:32,630 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:03:32,630 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:03:32,630 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:03:32,632 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:03:32,632 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:03:32,633 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:03:32,633 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:03:33,935 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:03:33,936 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:03:34,513 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:03:35,177 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:03:35,371 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:03:35,371 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:03:37,346 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:03:39,711 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:03:39,712 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:03:39,712 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:03:39,712 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:03:39,712 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:03:42,165 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:03:44,938 Conversion of price in float failed with error: could not convert string to float: 
